municipio;parroquia;nombre;tipo_centro;situacion;latitud;longitud
MP. PE?ALVER;CM. PUERTO PIRITU;ESCUELA ESTADAL EZEQUIEL ZAMORA;EDUCACION BASICA;Cerrado;10.05650199;-65.05524504
MP. PE?ALVER;CM. PUERTO PIRITU;ESCUELA BOLIVARIANA CECILIO ACOSTA;EDUCACION BASICA;Cerrado;10.05577704;-65.05335999
MP. PIRITU;PQ. PIRITU;ESCUELA BOLIVARIANA CAPACHAL;EDUCACION BASICA;Cerrado;9.91155699;-65.06358102
MP. PIRITU;PQ. PIRITU;UNIDAD EDUCATIVA NACIONAL POZO HONDO;UNIDAD EDUCATIVA;Cerrado;9.95829003;-65.05501401
MP. PE?ALVER;CM. PUERTO PIRITU;INSTITUTO UNIVERSITARIO TECNOLOGICO JUAN PABLO PEREZ ALFONZO IUTEPAL;INSTITUTO UNIVERSITARIO;Cerrado;10.06274097;-65.04437997
MP. PIRITU;PQ. PIRITU;UNIDAD EDUCATIVA VISTA AL MAR;UNIDAD EDUCATIVA;Cerrado;10.04747697;-65.043243
MP. CAJIGAL;PQ. SAN PABLO;ESCUELA  ESTADAL CONCENTRADA NUMERO 144-55 SALISTRAL;EDUCACION BASICA;Cerrado;9.76676598;-65.06583804
MP. PE?ALVER;CM. PUERTO PIRITU;INSTITUTO EDUCACIONAL PUERTO PIRITU;INSTITUTO EDUCATIVO;Cerrado;10.05894801;-65.04185997
MP. PIRITU;PQ. PIRITU;UNIDAD EDUCATIVA RURAL SAN ANTONIO;UNIDAD EDUCATIVA;Cerrado;9.97733403;-65.04753303
MP. PE?ALVER;CM. PUERTO PIRITU;INSTITUTO UNIVERSITARIO DE ADMINISTRACION INDUSTRIAL (IUTA);INSTITUTO UNIVERSITARIO;Cerrado;10.05912504;-65.04071103
MP. PIRITU;PQ. PIRITU;LICEO BOLIVARIANO ROLINGSON HERRERA;LICEO;Cerrado;10.049994;-65.03580504
MP. PIRITU;PQ. SAN FRANCISCO;UNIDAD EDUCATIVA ESTADAL SAN FRANSISCO DE ASIS;UNIDAD EDUCATIVA;Cerrado;9.83085498;-65.05111998
MP. PIRITU;PQ. PIRITU;ESCUELA BASICA DON FERNANDO PE?ALVER;EDUCACION BASICA;Cerrado;10.00824003;-65.03389101
MP. PIRITU;PQ. PIRITU;CENTRO DE EDUCACION INICIAL PEDRO CELESTINO MU?OZ;EDUCACION INICIAL;Cerrado;10.04141898;-65.03021703
MP. PIRITU;PQ. PIRITU;ESCUELA BASICA PEDRO CELESTINO MUNOZ;EDUCACION BASICA;Cerrado;10.03969503;-65.03000796
MP. CAJIGAL;PQ. SAN PABLO;GRUPO ESCOLAR SAN PABLO;GRUPO ESCOLAR;Cerrado;9.77723901;-65.050623
MP. PIRITU;PQ. PIRITU;UNIDAD EDUCATIVA ESTADAL FRANCISCO FAJARDO;UNIDAD EDUCATIVA;Cerrado;10.05442299;-65.021994
MP. PE?ALVER;CM. PUERTO PIRITU;UNIDAD EDUCATIVA NACIONAL BICENTENARIO 5 DE JULIO DE 1811;UNIDAD EDUCATIVA;Cerrado;10.055007;-65.01975696
MP. PE?ALVER;PQ. SAN MIGUEL;UNIDAD EDUCATIVA BOLIVARIANA  DIEGO ARREAZA MONAGAS;UNIDAD EDUCATIVA;Cerrado;9.90998901;-64.98875097
MP. BOLIVAR;PQ. CAIGUA;ESCUELA BOLIVARIANA NACIONAL SAN JOSE DE CAIGUA NER 182;EDUCACION BASICA;Cerrado;9.80978904;-64.91467503
MP. BOLIVAR;PQ. CAIGUA;ESCUELA BOLIVARIANA PANAMAYAL;EDUCACION BASICA;Cerrado;9.93755799;-64.89242496
MP. BOLIVAR;PQ. CAIGUA;ESCUELA BASICA ANTONIO JOSE MATA MEDINA;EDUCACION BASICA;Cerrado;9.95140701;-64.85080203
MP. CAJIGAL;PQ. SAN PABLO;ESCUELAN NACIONAL  CONCENTRADA SAN LORENZO;EDUCACION BASICA;Cerrado;9.75214197;-65.01652704
MP. CARVAJAL;PQ. SANTA BARBARA;ESCUELA CONCENTRADA MIXTA NUMERO 229-1256-SIN NUMERO SANTA BARBARA;EDUCACION BASICA;Cerrado;9.97031502;-65.69384103
MP. CARVAJAL;PQ. VALLE GUANAPE;ESCUELA BOLIVARIANA EL RINCON;EDUCACION BASICA;Cerrado;9.94977099;-65.67955299
MP. CAJIGAL;CM. ONOTO;ESCUELA BASICA EL CARIBE  UNITARIA NUMERO 2045;EDUCACION BASICA;Cerrado;9.59136399;-65.62059201
MP. CAJIGAL;CM. ONOTO;UNIDAD EDUCATIVA LAS TRINCHERAS  NUMERO 1255-2036-159-2099;UNIDAD EDUCATIVA;Cerrado;9.65195703;-65.53301301
MP. CAJIGAL;CM. ONOTO;ESCUELA BASICA LAS FLORES UNITARIA NUMERO  44-1768;EDUCACION BASICA;Cerrado;9.670977;-65.44444797
MP. CAJIGAL;CM. ONOTO;UNIDAD EDUCATIVA GRANADILLO;UNIDAD EDUCATIVA;Cerrado;9.62977203;-65.30716602
MP. FREITES;CM. CANTAURA;ESCUELA BASICA ALMIRANTE LUIS BRION;EDUCACION BASICA;Cerrado;9.29988198;-64.35855396
MP. SIMON RODRIGUEZ;CM. EL TIGRE;COLEGIO KALIL GIBRAN;EDUCACION BASICA Y SECUNDARIA;Cerrado;8.89201701;-64.19655297
MP. MC GREGOR;PQ. EL CHAPARRO;LICEO ALIRIO ARREAZA ARREAZA;LICEO;Cerrado;9.39017304;-65.18434302
MP. BOLIVAR;PQ. SAN CRISTOBAL;UNIDAD EDUCATIVA CACIQUE CAYAURIMA;UNIDAD EDUCATIVA;Cerrado;9.99527499;-64.65983796
MP. BOLIVAR;PQ. SAN CRISTOBAL;ESCUELA BOLIVARIANA MESONES;EDUCACION BASICA;Cerrado;10.08651303;-64.67329602
MP. BOLIVAR;PQ. SAN CRISTOBAL;ESCUELA DE CAPACITACION DE ADULTOS COMUNA INDIO CUMANAGOTO;EDUCACION BASICA;Cerrado;10.1394;-64.7046
MP. BOLIVAR;PQ. EL CARMEN;UNIDAD EDUCATIVA PADRE SALINERO FE Y ALEGRIA;UNIDAD EDUCATIVA;Cerrado;10.15464699;-64.631925
MP. SOTILLO;PQ. POZUELOS;COMPLEJO EDUCATIVO JOSE ANGEL MONTERO II;EDUCACION BASICA Y SECUNDARIA;Cerrado;10.19675799;-64.63423998
MP. SOTILLO;PQ. POZUELOS;ESCUELA BOLIVARIANA VISTA AL MAR;EDUCACION BASICA;Cerrado;10.19762802;-64.60991703
MP. GUANTA;PQ. GUANTA;UNIDAD EDUCATIVA ESTADAL RURAL VOLCADERO;UNIDAD EDUCATIVA;Cerrado;10.25354196;-64.58288202
MP. FREITES;CM. CANTAURA;LICEO CHAMARIAPA;LICEO;Cerrado;9.289863;-64.35942399
MP. FREITES;CM. CANTAURA;CENTRO DE EDUCACION INICIAL BOLIVARANA AGUSTIN AVELEDO;EDUCACION INICIAL;Cerrado;9.29819898;-64.35169596
MP. FREITES;CM. CANTAURA;UNIVERSIDAD GRAN MARISCAL DE AYACUCHO;SUPERIOR;Cerrado;9.30159702;-64.34447904
MP. FREITES;CM. CANTAURA;ESCUELA BASICA JESUS MARIA PORRAS ALFARO;EDUCACION BASICA;Cerrado;9.30317004;-64.35100899
MP. FREITES;CM. CANTAURA;COLEGIO SANTA JOAQUINA DE VEDRUNA;EDUCACION BASICA Y SECUNDARIA;Cerrado;9.304911;-64.35967698
MP. FREITES;CM. CANTAURA;LICEO DOCTOR FELIPE GUEVARA ROJAS;LICEO;Cerrado;9.30534804;-64.35484398
MP. FREITES;CM. CANTAURA;ESCUELA CAPACITACION FEMENINA GREGORIA DIAZ;EDUCACION BASICA;Cerrado;9.30583899;-64.35785799
MP. FREITES;CM. CANTAURA;ESCUELA BASICA NACIONAL GUEVARA Y LIRA;EDUCACION BASICA;Cerrado;9.306837;-64.35678501
MP. FREITES;CM. CANTAURA;UNIDAD EDUCATIVA PEDRO MARIA FREITES;UNIDAD EDUCATIVA;Cerrado;9.30733596;-64.37118303
MP. FREITES;CM. CANTAURA;UNIDAD EDUCATIVA DOCTOR FELIPE GUEVARA ROJAS;UNIDAD EDUCATIVA;Cerrado;9.31194801;-64.35337599
MP. FREITES;CM. CANTAURA;LICEO BOLIVARIANO JOSE RAMON CAMEJO;LICEO;Cerrado;9.312588;-64.36605699
MP. LIBERTAD;CM. SAN MATEO;UNIDAD EDUCATIVA QUIAMARE;UNIDAD EDUCATIVA;Cerrado;9.87888303;-64.53789696
MP. BOLIVAR;PQ. NARICUAL;UNIDAD EDUCATIVA NACIONAL CURATAQUICHE;UNIDAD EDUCATIVA;Cerrado;9.94916601;-64.57201596
MP. BOLIVAR;PQ. NARICUAL;UNIDAD EDUCATIVA GENERAL NICOLAS ROLANDO;UNIDAD EDUCATIVA;Cerrado;9.95437404;-64.52287497
MP. BOLIVAR;PQ. NARICUAL;ESCUELA NACIONAL BOLIVARIANA CAPIRICUAL;EDUCACION BASICA;Cerrado;10.01292399;-64.57799097
MP. BOLIVAR;PQ. NARICUAL;ESCUELA ESTADAL CARABOBO;EDUCACION BASICA;Cerrado;10.02313998;-64.59720102
MP. BOLIVAR;PQ. NARICUAL;UNIDAD EDUCATIVA ARAGUITA;UNIDAD EDUCATIVA;Cerrado;10.04807196;-64.55826396
MP. BOLIVAR;PQ. NARICUAL;ESCUELA BOLIVARIANA LAS MINAS;EDUCACION BASICA;Cerrado;10.04984703;-64.58018301
MP. BOLIVAR;PQ. NARICUAL;LICEO BOLIVARIANO NARICUAL;LICEO;Cerrado;10.07926002;-64.62801396
MP. BOLIVAR;PQ. SAN CRISTOBAL;CENTRO DE EDUCACION INICIAL MANUELA SAENZ;EDUCACION INICIAL;Cerrado;10.07960904;-64.62867204
MP. MC GREGOR;PQ. EL CHAPARRO;UNIDAD EDUCATIVA AUGUSTO D'AUBETERRE;UNIDAD EDUCATIVA;Cerrado;9.15270102;-65.01615498
MP. MC GREGOR;PQ. EL CHAPARRO;ESCUELA MANUALIDADES TOMAS ALFARO CALATRAVA;EDUCACION BASICA;Cerrado;9.153666;-65.01930903
MP. BOLIVAR;PQ. SAN CRISTOBAL;LICEO BOLIVARIANO JUAN MANUEL CAJIGAL;LICEO;Cerrado;10.14905304;-64.696509
MP. BOLIVAR;PQ. SAN CRISTOBAL;UNIDAD EDUCATIVA DOCTOR EDGAR CALATRAVA GAGO;UNIDAD EDUCATIVA;Cerrado;10.14957;-64.685376
MP. BOLIVAR;PQ. SAN CRISTOBAL;UNIDAD EDUCATIVA NACIONAL  MERCEDES DE PEREZ FREITES;UNIDAD EDUCATIVA;Cerrado;10.15130898;-64.68804504
MP. MC GREGOR;PQ. EL CHAPARRO;ESCUELA  NACIONAL UNITARIA NUMERO 2163;EDUCACION BASICA;Cerrado;9.19172196;-64.90724598
MP. ARAGUA;CM. ARAGUA DE BARCELONA;ESCUELA LAS PALMITAS;EDUCACION BASICA;Cerrado;9.20030202;-64.75114503
MP. BOLIVAR;PQ. EL CARMEN;GRUPO ESCOLAR BOYACA;GRUPO ESCOLAR;Cerrado;10.15177797;-64.68068898
MP. MC GREGOR;PQ. EL CHAPARRO;ESCUELA UNITARIA ESTADAL NUMERO 129;EDUCACION BASICA;Cerrado;9.20605104;-65.14128801
MP. MC GREGOR;PQ. EL CHAPARRO;ESCUELA UNITARIA NUMERO. 2687;EDUCACION BASICA;Cerrado;9.23562198;-64.95040503
